"Project Name","Last Scan Date","Team","LOC","Risk Level Score","High Vulnerabilities","Medium Vulnerabilities"
"OUP-SCOUT-APS"," 7/13/2021","CxServer\SP\OUP\Scout","6801","38","0","19"
"OUP-SCOUT-FE"," 7/13/2021","CxServer\SP\OUP\Scout","29543","40","0","88"
